id,"Q1: From a scale 1 to 5, how complex is it to make this food? (Where 1 is the most simple, and 5 is the most complex)",Q2: How many ingredients would you expect this food item to contain?,Q3: In what setting would you expect this food to be served? Please check all that apply,Q4: How much would you expect to pay for one serving of this food item?,Q5: What movie do you think of when thinking of this food item?,Q6: What drink would you pair with this food item?,"Q7: When you think about this food item, who does it remind you of?",Q8: How much hot sauce would you add to this food item?,Label
631164,4,"flat bread, some sort of meat, hummus, pickles, beets, lettuce, some spices, salt.

atleast 7","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$5-$10,"Aladdin, idk.",Water,Strangers,A moderate amount (medium),Shawarma
603130,4,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$13 ,Deadpool and Wolverine,Canned soda,"Friends,Strangers",A little (mild),Shawarma
229211,2,I would expect this food item to contain about 6 to 8 ingredients,"Week day lunch,Weekend lunch,At a party",$6 ,The Avengers,Gingerale (Canada Dry),"Friends,Strangers",A moderate amount (medium),Shawarma
632125,2,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$2.50 ,,Water,"Parents,Strangers",A little (mild),Shawarma
626812,3,5-10,"Week day lunch,Week day dinner,Late night snack",15,no movie,soft drinks,Strangers,A little (mild),Shawarma
631109,4,8 - 10.,"Week day lunch,Week day dinner,Weekend dinner,At a party",$9-12,"Think of Mulan, which my family and I watched last weekend while eating Shawarma. ",Water,"Parents,Siblings",A moderate amount (medium),Shawarma
716766,3,"6-8, including the bread, marinated meat, vegetable, sauces, and optional spices or pickles","Week day lunch,Weekend lunch",8 for each wrap,Dangal,coca-cola,"Friends,Strangers",A little (mild),Shawarma
628102,3,6-8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$12 ,You Don't Mess With The Zohan,Water,"Parents,Friends",A moderate amount (medium),Shawarma
517774,1,5,"Week day lunch,Week day dinner",10,Interstellar,sprite,Teachers,,Shawarma
408898,3,7,"Week day lunch,Weekend lunch",7 dollars,Avengers,Water,"Parents,Friends",A little (mild),Shawarma
523080,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",9 dollars,harry potter,soda,"Parents,Siblings,Friends",A little (mild),Shawarma
631014,4,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$10 ,The Prince of Egypt,Water,Friends,A lot (hot),Shawarma
503957,4,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$10 ,avengers,Ginger Ale,"Friends,Strangers",A moderate amount (medium),Shawarma
524890,4,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$12 ,The Avengers,Sprite,Friends,A lot (hot),Shawarma
525311,2,10,"Week day lunch,Weekend lunch,At a party,Late night snack",$12 ,The Avengers,Lemonade,Friends,A little (mild),Shawarma
630967,4,4,"Week day lunch,Week day dinner,Weekend lunch,Late night snack",10,The Dictator,Ayran,"Parents,Friends",A little (mild),Shawarma
604969,3,9,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$8 ,Avengers,Soda,"Parents,Siblings,Friends,Strangers",A lot (hot),Shawarma
524480,5,15 ingredients,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$15 ,Avengers,Water,"Parents,Friends",,Shawarma
630121,4,around 20 ingredients,"Week day lunch,Weekend lunch",around $20.00,Aladdin,soft drinks,"Friends,Strangers",A lot (hot),Shawarma
629615,3,with spices: 6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",for a shawarma plate: 12 dollars,Avengers,Barbican,"Parents,Siblings,Friends",A lot (hot),Shawarma
634977,4,6,"Week day lunch,Weekend lunch,Late night snack",10,Avengers,Fanta,Friends,A moderate amount (medium),Shawarma
630823,5,12,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",14,Iron man,coke,"Parents,Siblings,Friends",A moderate amount (medium),Shawarma
632228,3,12,"Week day lunch,Weekend lunch,Late night snack",5 to 8 dollars,The Dictator,coke,"Parents,Siblings,Friends",I will have some of this food item with my hot sauce,Shawarma
504548,2,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$15 ,The Avengers,Water,Strangers,A moderate amount (medium),Shawarma
522477,2,"As many as possible, at least more than 10 ingredients","Week day lunch,Week day dinner,Weekend lunch",At most $15.,The Avengers,Coke,"Siblings,Strangers",A moderate amount (medium),Shawarma
523461,2,12,"Week day lunch,Weekend lunch,At a party",$8 ,Avengers,Soda,Friends,A moderate amount (medium),Shawarma
312640,3,7-8 between vegetables the bread and meat,"Week day lunch,Weekend lunch",13 dollars for a standard size maybe 15 or 16 for a large,Avengers,leban,Strangers,A moderate amount (medium),Shawarma
711854,3,"Pancake, lettuce, tomato, cucumber, chicken, sauce

6 ingredients","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",$10 ,Mission: Impossible,Orange juice,Friends,A moderate amount (medium),Shawarma
739254,4,Around 5 - 10 ingredients,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",8 dollars,Aladdin,Water,Siblings,,Shawarma
602482,2,3-5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",7-9 dollars,IDK,Soda,"Friends,Strangers",A lot (hot),Shawarma
505458,4,2,"Week day dinner,Weekend dinner,Late night snack",10,,Soft,Strangers,A little (mild),Shawarma
296589,5,"Some sort of meat, rice, tortilla, veggies","Week day dinner,Weekend dinner",Around $8-10,South Park: The End of Obesity,Water,"Parents,Friends",A moderate amount (medium),Shawarma
604826,4,"7 Ingredients

Lamb

Pita

White Sauce

Yellow Rice

Lettuce

Tomatoes

Corn","Week day lunch,Week day dinner,Weekend lunch",I will expect to pay around 11 dollars for one serving of this food item. ,I think about the movie Avengers when I think of Shawarma. ,I will pair this drink with Sparking Water.,Siblings,A little (mild),Shawarma
387820,4,5-8 ingredients. ,Weekend lunch,20 CAD.,yeh jawaani hai deewani,fanta,Siblings,A little (mild),Shawarma
712252,2,10,"Week day lunch,Weekend lunch",$10 ,The Avengers,Water,Strangers,A moderate amount (medium),Shawarma
712771,3,3,Week day lunch,20,Dabba,Iced tea,Friends,,Shawarma
746466,2,7,"Week day lunch,Week day dinner,Weekend lunch",18,Rush Hour,Water,"Friends,Strangers",I will have some of this food item with my hot sauce,Shawarma
601737,4,"cone, chicken, hummus, garlic sauce, pickled radish, fries, tomato. so 7 ingredients.","Week day lunch,Week day dinner,Weekend lunch",12 dollars,Lawrence of Arabia,coke,Strangers,A little (mild),Shawarma
312320,5,"rice 

onions

hummus

pickles

pickled beets

tahini

chicken or beef shawarma

falafel

lettuce

tomatoes","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","shawarma wrap = $10

shawarma plate = $15",I think of the Cheech & Chong movies when I think of Shawarma,I would pair Coke Cola or bottled water with Shawarma,"Parents,Siblings,Friends,Teachers",A moderate amount (medium),Shawarma
407257,4,10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",10,The Avengers,"Soda

Pop

Coke","Parents,Siblings,Friends",A moderate amount (medium),Shawarma
626883,4,3,"Week day dinner,Weekend dinner",$4-6,Star Wars,Water,"Parents,Siblings,Friends",A little (mild),Shawarma
727339,2,"At least 3:

- Wrap, meat, vegetables","Week day lunch,Week day dinner,Late night snack",10$,The Avengers,Iced Tea,"Friends,Strangers",,Shawarma
631448,2,Around 6-7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",Around 6-7 dollars,"Ratatouille again, but that's because my knowledge of movies is limited and I barely watch any.",Orange Juice/ Cold water,"Parents,Siblings,Friends,Strangers",A lot (hot),Shawarma
634885,4,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$11 ,Shawshank redemption,Water,"Siblings,Friends,Strangers",,Shawarma
619932,3,10,"Week day lunch,Weekend lunch,Late night snack",$11 ,,Juice,"Parents,Strangers",A little (mild),Shawarma
631141,3,"3 base, 4 toppings, total 7","Week day lunch,Weekend lunch,Weekend dinner",$12 ,Avengers,Iced Tea,"Parents,Siblings,Friends",A moderate amount (medium),Shawarma
498213,4,"at least 8 ingredients, including all the veggies","Week day lunch,Week day dinner,Weekend dinner",one big shawarma wrap could be around 8-10 cad,I think of Middle Eastern/Indian movies but nothing some in mind specifically.,soda. Diet Coke in particular ,"Siblings,Friends",A moderate amount (medium),Shawarma
627496,2,6 ingredients,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",13.00 dollars,Avengers: Endgame,Fanta,"Friends,Strangers",A lot (hot),Shawarma
629659,3,15,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",10$,Endgame,Mango Juice,"Parents,Siblings,Friends",A lot (hot),Shawarma
630190,2,I would expect this food to contain 6 ingredients.,Week day lunch,8 dollars.,I think of the movie Borat.,"No drink, or iced tea.","Friends,Strangers",A little (mild),Shawarma
401586,1,10,"Week day lunch,Weekend lunch",12.5,Taken 2,Diet Coke,Friends,A moderate amount (medium),Shawarma
629263,4,12,"Week day lunch,Week day dinner",$15 ,The Avengers,Coke,"Siblings,Friends,Strangers",A lot (hot),Shawarma
411681,3,6-10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$12 ,The Avengers,Water,Strangers,A little (mild),Shawarma
518733,3,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",9 dollars,the dora movie,coke,Parents,A moderate amount (medium),Shawarma
519976,5,"I have no idea, I don't eat that stuff",Weekend lunch,"I have no idea, I don't eat that stuff","I have no idea, I don't eat that stuff","I have no idea, I don't eat that stuff",Friends,,Shawarma
604991,4,13,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",12,The Avengers,Water,"Parents,Strangers",A moderate amount (medium),Shawarma
629723,4,1,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",$13 ,The Whale,Pepsi,"Siblings,Friends",A lot (hot),Shawarma
387522,3,5,"Week day lunch,Week day dinner,Late night snack",15,Avengers,Coca Cola,Friends,A moderate amount (medium),Shawarma
613484,4,6,"Weekend lunch,Weekend dinner",$8.00 ,Chinese zodiac,Water,Strangers,A lot (hot),Shawarma
388729,1,I prefer to take around 3 of them.,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",Around 15 - 20 dollar !,"It sounds like you're referring to the movie Ratatouille! It’s a Pixar animated film about a rat named Remy who dreams of becoming a great chef despite being a rodent in a profession dominated by humans. The story is set in Paris, and it beautifully blends themes of passion, creativity, and perseverance in the culinary world. Let me know if this is the one you're thinking of!",fruit tea,Friends,,Shawarma
494373,3,10,Week day lunch,12-Oct,The avengers,Coke zero,Friends,A moderate amount (medium),Shawarma
630977,5,10 ingredients,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",15 dollars,No movie,Sprite,"Parents,Siblings,Friends",I will have some of this food item with my hot sauce,Shawarma
605537,2,3,Week day lunch,6,Ratatouille,orange juice,Strangers,A little (mild),Shawarma
624443,3,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",$7 ,The Avengers,Water,Strangers,,Shawarma
718089,4,5-7,"Week day lunch,Week day dinner",$10-$15,Dictator ,Pepsi,Strangers,A lot (hot),Shawarma
526064,3,12,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$8 ,none,Milk,"Parents,Friends",A moderate amount (medium),Shawarma
627638,3,Around 10.,"Week day lunch,Weekend lunch,At a party",Around $6.,No movie comes to mind.,A soda or iced tea.,Siblings,,Shawarma
411117,4,10,"Week day dinner,Weekend lunch,Weekend dinner,Late night snack",$9 ,The Avengers,Mango Juice,"Parents,Siblings,Friends",A moderate amount (medium),Shawarma
631711,3,"Five ingredients: Bread, chicken, three toppings.","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$3 ,Sonic the Hedgehog,Coke,Strangers,A lot (hot),Shawarma
606010,4,like 4-8. I really would like my ingredients to be on the lower side because the simpler the better. Also I like this item better in a bowl.,"Week day lunch,Weekend lunch,Late night snack",like 6-10$ USD.,Those commercials by the toronto food man. Za bebsi is the best.,pepsi,"Friends,Strangers",A lot (hot),Shawarma
631436,4,"I would expect the shawarma to contain 8-9 ingredients, for clarity my response is 9. ","Week day dinner,Weekend dinner","For one shawarma, it should cost $12 according to Osmows. ","I think of the movie 'The Avengers' because in the final scene of the movie, Tony Stark takes the avengers to the Shawarma place. ",I would pair Mountain Dew's Baja Blast with Shawarma. ,Strangers,A little (mild),Shawarma
633712,4,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",10,The Avengers,Water,"Parents,Siblings,Friends",,Shawarma
609556,4,14,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",10 dollar,Aladdin,Water,"Friends,Strangers",A lot (hot),Shawarma
602234,2,"7 total. The ingredients include one choice of meat, pita bread, olive oil, spices, and about 3 toppings.","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",I expect to pay $15 for one serving of shawarma.,"When eating shawarma, I think of the movie ""Shrek 2"".",Probably just water. Nothing crazy.,"Parents,Friends",A moderate amount (medium),Shawarma
741592,4,8,"Week day dinner,Weekend lunch,Weekend dinner",9.99,The Avengers,Juice,"Parents,Strangers",A moderate amount (medium),Shawarma
628547,4,12,"Week day lunch,Weekend lunch,Late night snack",$15 ,The Avengers,Water,"Siblings,Friends",A lot (hot),Shawarma
501513,3,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",10,3 Idiots,Sprite,Strangers,,Shawarma
630929,2,5,"Week day lunch,Weekend lunch,Late night snack",$9 ,none,soda,Friends,,Shawarma
617310,3,9,"Week day lunch,Weekend lunch,Late night snack",13.99,Avengers ,Lemonade,"Friends,Strangers",A lot (hot),Shawarma
495424,3,5,Week day lunch,$10 ,Spiderman,Water,Strangers,,Shawarma
622787,4,10,Week day lunch,8,deadpool 3,chocolate milk,Friends,A moderate amount (medium),Shawarma
631716,4,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$13 ,21 Jump Street,Water,"Parents,Friends",A moderate amount (medium),Shawarma
741658,2,"Flour, Oil, Vegetables, Meats.","Week day lunch,Week day dinner,At a party",less than 10 dollars.,The Avengers,No drink,"Siblings,Friends,Teachers",A little (mild),Shawarma
620745,4,25,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$12-$15,The Avengers,Pop,"Parents,Friends,Strangers",,Shawarma
611932,2,5,"Week day lunch,Week day dinner,Weekend lunch",$10 ,Not sure,Mango lassi,Strangers,,Shawarma
635602,4,Around 8-10 depending on the type,"Week day lunch,Weekend lunch","$8-14, depending on size/type",Avengers (2012),iced tea/lemonade,Strangers,I will have some of this food item with my hot sauce,Shawarma
529289,3,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$15 ,Slumdog Millionaire,Iced Tea,"Parents,Siblings,Friends,Strangers",A moderate amount (medium),Shawarma
630738,3,10,"Week day dinner,Weekend dinner,At a party,Late night snack",10,none,water,"Parents,Friends,Strangers",,Shawarma
524766,5,4,"Week day lunch,Week day dinner,Weekend lunch,At a party,Late night snack",15,Avengers,Dairy,Siblings,A little (mild),Shawarma
522148,4,5-7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",9,bollywood,cola,Friends,A little (mild),Shawarma
601547,5,5+,"Week day lunch,Weekend lunch,At a party",10 per serving,middle eastern movie,water,Friends,,Shawarma
66222,5,10,"Week day lunch,Late night snack",10,Fast and Furious,Zero sugar coca cola,Strangers,A lot (hot),Shawarma
603182,3,15,"Week day lunch,Weekend lunch,Weekend dinner",15,,Soda,"Parents,Siblings,Friends",A little (mild),Shawarma
632117,3,"I would expect 7-10: wrap (pita for example), chicken, cucumber, tomato, lettuce, sauce, and other vegetable toppings like onions, olives, green peppers, jalapeno peppers, banana peppers, and so on. However, this is not counting for the number of ingredients it might take to make the sauce itself.","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack","One serving of shawarma typically refers to one whole wrap, so about 11 CAD in Toronto.",Ratatouille.,Water.,"Parents,Siblings,Strangers",A lot (hot),Shawarma
630209,3,More than 5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$10 ,The Avengers,Coke,Parents,,Shawarma
386750,3,3 to 4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",About 15 - 20 dollars,Burnt,A coca cola ,Friends,,Shawarma
617178,3,"At the bare minimum it would nee two ingredients. However, on average I would say it has six to eight ingredients.","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",10 dollars,I thought of the anime Food Wars.,Nothing in particular– I would say water.,"Parents,Teachers",A lot (hot),Shawarma
630128,1,3 or a finite amount more,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",$10 ,The Avengers,Any soft drink,Friends,I will have some of this food item with my hot sauce,Shawarma
517064,4,3-5 ingredients.,"Week day lunch,Week day dinner,Weekend dinner",For a single sushi? $1-2.,Kung Fu Panda,Water,"Parents,Siblings",,Sushi
387330,1,4,"Week day dinner,Weekend dinner,Late night snack",$13 ,Rush Hour 3,Rice wine,"Parents,Siblings",A little (mild),Sushi
746750,4,2-4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$20 ,I don't know that many movies fr,water,"Parents,Siblings,Friends",,Sushi
743488,3,3,Weekend lunch,$10.00 for a meal,The Menu,water,"Parents,Siblings",,Sushi
523710,4,5-10,"Week day dinner,Weekend lunch,Weekend dinner,At a party",$6-18,"Monsters, Inc.",Coke,"Friends,Strangers",A little (mild),Sushi
635179,5,5,"Week day dinner,Weekend dinner,Late night snack",$13.00 ,John Wick,Water,"Parents,Siblings",,Sushi
313562,4,6,"Week day lunch,Weekend lunch",$25 ,fast and furious ,water ,"Parents,Siblings,Friends",A little (mild),Sushi
712670,1,fish and rice so about 2,"Weekend dinner,Late night snack",1 dollar per sushi,"Sushi is from Japan so I would think about a Japanese movie. Your Name, the anime movie.",green tea or water,Friends,A little (mild),Sushi
635627,4,5,"Week day lunch,Week day dinner,Weekend dinner",$15 ,Kung Fu Panda,Water,Strangers,,Sushi
633520,5,Anywhere from 5-10,"Week day lunch,Weekend lunch,At a party",~$20,The Emoji Movie ,Water,Friends,,Sushi
606905,5,5,Weekend dinner,20.99,rush hour,misso soup,"Parents,Friends",,Sushi
393424,5,5,"Week day dinner,Weekend dinner",10,Rush Hour 2,Sake,Strangers,A little (mild),Sushi
618333,1,"Rice

meat

wasabi

3 min to 6 

4 being optimal","Weekend lunch,Weekend dinner,At a party",12 CAD,,Soju,Friends,A lot (hot),Sushi
613776,4,"Depends on the roll, but on average 5","Weekend lunch,Weekend dinner","One serving for me would at least have to be 8 rolls, and I expect to pay $12.",John Wick: Chapter 3 - Parabellum,Jasmine Tea,Parents,,Sushi
317214,5,"I would expect one sushi to only contain rice, maybe nori, and definitely some type of fish. So a small platter of sushi would contain at least 10 different ingredients.","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",I would expect to pay at least 20 for a small platter of sushi,I don't think of any movie.,A tea would pair well,"Parents,Siblings,Friends",A little (mild),Sushi
628093,5,6,Weekend lunch,$30.00 ,Cars 2.,Water,"Parents,Siblings,Friends",A moderate amount (medium),Sushi
411781,5,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",11,"Crazy, stupid, love",Coke Zero,Friends,A little (mild),Sushi
525567,5,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10,Crazy Rich Asians,Water,Friends,A little (mild),Sushi
634455,4,2-4,"Weekend dinner,Late night snack",8,,Soju,Friends,A moderate amount (medium),Sushi
498848,3,8,"Weekend lunch,Weekend dinner",$12 ,Kill Bill,Sake,"Friends,Strangers",,Sushi
410165,5,7,"Week day dinner,Weekend dinner",25,ratatouille,water,Strangers,,Sushi
608554,5,4,"Week day dinner,Weekend dinner",20,Breaking Bad,Water,Friends,,Sushi
602394,3,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$10 ,Monsters Inc,Water,"Siblings,Friends",,Sushi
508149,4,5,"Week day lunch,Week day dinner,Weekend dinner",24,The Fast and the Furious: Tokyo Drift,Green Tea,"Parents,Friends",,Sushi
524992,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",12,Crazy Rich Asians,water,"Parents,Siblings,Friends",,Sushi
413570,2,5 ingredients,"Week day lunch,Weekend lunch,At a party",$5 ,Shark Tale,Green tea,"Friends,Teachers,Strangers",A moderate amount (medium),Sushi
306207,2,5-8,"Week day lunch,Weekend lunch,Late night snack",$6 ,Who am I? (Jackie Chan),Water,Friends,A little (mild),Sushi
634468,4,4-5,"Week day dinner,Weekend dinner",20,Cars 2,Tea,"Parents,Siblings,Friends",A little (mild),Sushi
522205,5,3+,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$15 ,Cars,Green Tea,"Parents,Siblings,Friends",,Sushi
5978,4,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",12 dollars,Jiro Dreams of Sushi,Water,"Siblings,Friends",,Sushi
742611,3,"1. Seaweed

2. Rice

Many other possibilities of the main ingrediant:

3. Carrot / Yellow Radish / Cucumber / Avogado

4. Meat (Tuna, Salmon)","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","Really depends on the main ingredient, usually $5-$15 for a roll.","Japanese movies, food documentaries.","stereotypically nihonshu, but maybe tea and water too.","Parents,Siblings,Friends",,Sushi
631198,4,5,"Weekend lunch,Weekend dinner,At a party",12,Your Name,water,"Parents,Friends,Strangers",A lot (hot),Sushi
313577,4,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$10 ,the big short,coke,"Parents,Siblings",I will have some of this food item with my hot sauce,Sushi
629700,2,3,"Weekend lunch,Weekend dinner",$15 ,Big Hero 6,Water,Friends,,Sushi
607609,4,3,"Week day dinner,Weekend dinner",$14 ,Bullet Train,Sake,"Parents,Strangers",,Sushi
522890,3,It can vary from the type of sushi. So lets say 2-15 ingredients.,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5$ up to 20$,Anime,Water,Strangers,,Sushi
630227,4,3+,Weekend dinner,$30 ,Your Name,Water,Strangers,A little (mild),Sushi
617029,2,4,"Week day dinner,Weekend dinner,Late night snack",10,G.I. Joe,Sparkling water,"Parents,Friends,Strangers",,Sushi
633001,4,4,"Week day lunch,Weekend lunch,At a party",10,"Monsters, Inc.",Water,Friends,,Sushi
630198,4,5,"Week day lunch,Weekend dinner",15,inception,water,"Parents,Siblings",,Sushi
613209,1,3,Weekend dinner,17-18$,Jiro Dreams of Sushi,Water,Friends,,Sushi
605452,5,5,"Week day lunch,Weekend lunch",25,Jiro Dreams of Sushi,Sake,Friends,A little (mild),Sushi
518809,1,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",6,none,coke,Parents,,Sushi
634646,4,5,"Week day dinner,Weekend dinner,At a party,Late night snack",$10 ,Monsters Inc,water,"Friends,Strangers",A little (mild),Sushi
508156,3,4-7,"Week day dinner,Weekend dinner",$10 ,Crazy rich asians,Water,"Siblings,Friends",A moderate amount (medium),Sushi
414734,5,3,"Week day dinner,Weekend dinner",30-40$,no movie,sake,Friends,,Sushi
630250,2,"Seafood, rice, nori","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",18 to 20 dollars,jiro dreams of sushi,green tea,"Parents,Friends",A lot (hot),Sushi
411810,2,3,"Weekend lunch,Weekend dinner",$30 ,Tokyo drift,Water,"Parents,Siblings",,Sushi
602845,4,The number of ingredients in this food item is between 4 and 7.,At a party,About $25.,I think of the Spider-Man movie.,I like traditional green tea with it.,Friends,,Sushi
519822,4,5,"Week day lunch,Week day dinner",15,Madagascar,Water,"Siblings,Friends",A lot (hot),Sushi
600849,5,5,"Week day lunch,Weekend lunch,Weekend dinner",$5 ,Rush Hour,Water,"Siblings,Friends",,Sushi
631600,2,I have never eaten sushi before so I am guessing: Around 4 ingredients. I believe there are multiple types of sushi's so it may depend.,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",I would probably expect to pay $10 for a tray of sushi,Penguins of Madagascar. There was a scene where all penguins made sushi and had to fight a big purple octopus with it.,Water,Friends,,Sushi
525853,2,2 to 4 ingredients,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5 to 20 dollars,Finding Nemo,Water,"Friends,Strangers",,Sushi
835124,5,4,"Week day lunch,Weekend lunch,Weekend dinner",$10 ,Pokemon,Green Tea,"Parents,Friends",,Sushi
634764,4,5,"Week day lunch,Late night snack",$15 ,9,Water,Friends,A little (mild),Sushi
630117,4,Usually 2 if we talking about one piece of normal sushi,"Week day lunch,Weekend lunch,Weekend dinner",around 1 per piece,Japanese movie,Hot matcha,Parents,,Sushi
631531,3,~2-3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",~$15-20,jiro dreams of sushi,water,Friends,,Sushi
714062,4,At least 3,"Week day dinner,Weekend dinner",At least 15 CAD,James Bond,Green Tea,Siblings,,Sushi
498563,4,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",$6.50 ,Wags,Green tea,"Parents,Siblings",,Sushi
625319,5,"Fish
Rice
Seaweed","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5$,Your Name,Water or fruit juice.,"Friends,Teachers,Strangers",A lot (hot),Sushi
723931,3,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",20 dollars,naruto,matcha,"Parents,Siblings",,Sushi
630999,2,3,Weekend dinner,A box of sushi would be around 8 dollar.,,Green tea,Friends,,Sushi
97339,3,5,"Week day dinner,Weekend dinner",$3 ,The Wolverine,Water,"Siblings,Friends",,Sushi
632299,4,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",20 dollars,Madagascar,Tea,Parents,A little (mild),Sushi
504599,2,2-5,"Week day dinner,Weekend dinner",15 CAD for 8 pieces,Meitantei Konan,Barley tea,"Parents,Friends",,Sushi
632684,5,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",12,Cars,Coca Cola,"Friends,Strangers",,Sushi
522967,4,5,"Week day lunch,Weekend lunch,Weekend dinner",35,the last samurai,water,"Parents,Siblings,Friends",,Sushi
632156,5,"I would expect this food item to contain at least five ingredients, taking a nigiri sushi as an example: rice, vinegar, sugar, salt, and fish.","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner","Taking one set as one serving, I would expect to pay $20.",I don't have a movie I think of when I think of sushi.,I would pair tea with sushi.,"Parents,Siblings,Strangers",A little (mild),Sushi
603582,4,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",20 CAD,Godzilla,Rice wine,"Parents,Siblings,Friends",,Sushi
626754,5,"Seaweed, Rice, Raw Fish. So 3 ingredients.","Week day dinner,Weekend lunch,Weekend dinner",$15 ,Bullet Train,Water,Friends,,Sushi
298481,3,4-12,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$9-$40,Avengers,Milk Tea,"Parents,Friends",,Sushi
631583,5,4,"Week day dinner,Weekend dinner,At a party,Late night snack",8,"**************
Johnny English
**************",ALCOHOLIC SAKE,"Friends,Teachers",,Sushi
718026,5,4,"Week day dinner,Weekend dinner",20,tokyo drift,pepsi,"Parents,Friends",,Sushi
616713,4,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",25,Billions - TV Show,Sake,"Parents,Siblings,Friends",,Sushi
522345,4,It could contain anywhere between 2 to 8 ingredients,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",One serving of sushi would be $16,Madagascar 2,straight soy sauce by the gallon,"Parents,Friends",A moderate amount (medium),Sushi
